key,premium_usd_per_kg
C93200_SAE660,12.0
C86300_MnBronze,13.1
C95400_AlBronze,11.9
C95500_NiAlBronze,13.0
C63000_NiAlBronze,12.8
C63200_NiAlBronze,12.9
CuSn12Ni2_C,13.2
CuAl10Fe5_C,13.0
C96900_Spinodal,20.3
C72900_Spinodal,20.5
C92200_NavyM,12.2
C90700_TinBronze,12.4
C91700_NickelTinBronze,12.6
C90500_GunMetal,12.4
C90300_NavyG,12.3
C92700_LeadedTinBronze,12.4
C92900_LeadedNickelTinBronze,12.5
C93700_HighLeadedTinBronze,12.3
C83600_LeadedRedBrass,11.2
C95200_AlBronze,12.2
C95510_AMS4880,14.7
C95800_NAB,13.5
C85400_LeadedYellowBrass,11.2
